身高,体重,肺活量,50米跑,立定跳远,坐位体前屈,800米跑
166.5,59,2918,8.88,170,18.3,"3'39"""
158.6,46.3,3120,7.75,191,13.2,"3'42"""
166.8,74.8,3248,8.53,170,14.7,"4'05"""
159.7,43.8,2317,8.49,170,22.5,"3'33"""
159,49.8,2619,9.89,160,13.8,"4'09"""
159,54.7,2963,8.1,160,4.4,"3'45"""
171.2,62.2,3205,8.57,195,18.1,"4'09"""
175.8,66.8,3550,8.63,190,8,"4'04"""
156,51,2464,10,158,14.8,"4'12"""
163.7,50.3,3265,9.72,178,26.6,"3'58"""
154.2,56,2461,9.16,160,21,"4'20"""
161.3,64.6,2482,9.35,160,16.7,"3'56"""
152.9,40.4,2316,9.34,153,13.8,"4'19"""
168.7,49.8,2112,8.06,175,12.6,"4'07"""
161.6,59.1,3062,9.65,150,22.1,"4'21"""
151.8,43.8,2457,8.18,186,22.3,"3'34"""
158.3,45,2399,8.19,180,21.6,"4'01"""
157.1,46.9,2428,8.15,180,14.6,"3'30"""
159.5,45,2262,9.05,165,12,"3'36"""
165,53.7,3161,9,160,21.6,"4'12"""
167.5,56.1,2842,9.53,180,11.4,"4'00"""
162.4,59.8,2967,9.58,146,24.4,"4'50"""
159.7,47.9,2634,8.46,184,18.5,"3'42"""
160.6,52.5,3189,9.1,165,25,"3'51"""
161.7,58.4,2835,9.26,168,17.8,"4'32"""
161.7,42.9,2524,9.17,178,13.1,"3'48"""
164.9,53.8,3354,10.59,151,13.9,"4'29"""
166.2,57,2773,9.8,186,6.3,"3'57"""
157,45.8,2221,8.8,180,13.4,"3'29"""
155.7,46.4,1873,9.36,160,7.4,"4'03"""
160.7,55.1,2444,9.33,170,18.2,"3'51"""
161.9,49.9,2620,8.41,195,13.4,"4'18"""
162.2,47.2,1904,8.92,150,18.9,"3'45"""
166.8,66.2,3355,8.61,162,17.5,"3'59"""
159.6,46.4,2588,8.8,155,17.9,"3'49"""
168.2,50.5,3271,7.7,185,25.6,"4'00"""
161.6,62.1,3177,8.8,178,23.9,"4'38"""
168.3,60.4,2526,9.28,170,19.9,"3'38"""
153.3,48.7,2899,8.88,168,12.8,"3'23"""
